,duration,erotism,rhythm,filmtv_id,humor,effort,year,critics_vote,public_vote,total_votes,tension,avg_vote
240,110,1,1,387,0,0,1983,4,5,10,1,4.6
241,105,1,2,388,1,0,1962,5.43,6,20,1,5.9
242,95,0,2,389,2,1,1957,7.29,7,21,1,7.1
243,112,1,2,390,3,0,1973,6.4,6,17,0,6.4
244,87,0,2,391,2,0,1958,5.33,5,8,0,5.2
245,123,1,2,392,1,0,1985,6.73,7,59,2,6.8
246,83,0,2,393,1,2,1936,7,7,37,3,6.9
247,99,0,2,395,2,0,1964,3.33,4,8,0,3.8
248,102,1,2,398,1,0,1980,3.25,4,13,1,3.6
249,110,1,2,399,1,0,1964,4,5,6,0,4.3
250,95,0,2,401,0,1,1964,5,7,4,2,6
251,124,2,3,402,3,2,1970,5.67,6,68,2,5.9
252,90,0,1,404,0,2,1992,4,10,3,0,7
253,99,1,3,407,2,1,1990,6,6,9,2,6.2
254,80,2,1,409,1,0,1966,3.5,4,12,0,3.7
255,114,1,2,412,0,0,1950,7,7,30,2,7
256,99,1,3,414,3,0,1948,7.33,6,15,0,6.8
257,110,0,2,415,1,2,1934,6,6,9,2,5.8
258,128,1,2,416,0,1,1988,6,6,8,1,5.9
259,98,1,2,421,1,0,1959,4.5,4,8,1,4.3
260,92,0,2,422,0,0,1954,6,5,5,1,5.5
261,101,0,2,423,1,0,1954,5,5,13,0,4.9
262,82,0,2,424,2,0,1989,6.25,6,13,2,6
263,100,2,2,425,2,0,1978,5.11,6,26,1,5.6
264,111,1,3,427,1,1,1988,7,7,50,4,6.9
265,100,0,2,428,0,2,1981,6,6,3,2,6
266,105,1,2,429,2,2,1956,6.8,7,68,3,6.8
267,160,1,3,430,1,4,1959,8.26,8,127,3,8.1
268,110,1,1,431,2,0,1975,4.91,5,64,0,5.1
269,128,0,2,432,2,1,1973,5.75,7,93,1,6.1
270,87,0,2,433,0,0,1989,4,6,4,2,4.8
271,99,0,2,434,2,0,1972,5.75,6,14,1,6
272,95,0,3,435,3,0,1990,5.78,6,99,2,5.9
273,100,0,2,436,1,0,1988,6,5,3,2,5.5
274,92,2,3,437,3,1,1960,6.67,8,7,1,7.1
275,91,0,1,438,1,2,1986,5,6,5,0,5.3
276,174,0,1,439,0,4,1969,9,9,136,2,8.9
277,95,0,2,440,0,2,1966,6.33,6,5,2,6.2
278,80,1,3,441,0,0,1982,8,6,15,3,7
279,120,0,2,442,0,1,1971,6.33,7,79,3,6.6
280,115,1,2,445,0,0,1987,6.65,7,169,3,6.7
281,89,0,2,447,0,0,1984,6,7,9,2,6.4
282,84,1,2,449,1,0,1988,5,5,4,1,4.8
